id,order_id,order_date,customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,shipper_name,shipper_phone,product_category,product_category_desc,product_quantity,product_name,product_unit,product_price,supplier_name,supplier_contact,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_phone,employee_first_name,employee_last_name,employee_birthdate,employee_photo,employee_note
1,10248,1996-07-04,"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,"Federal Shipping","(503) 555-9931","Dairy Products",Cheeses,12,"Queso Cabrales","1 kg pkg.",21,"Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra","Calle del Rosal 4",Oviedo,33007,Spain,"(98) 598 76 54",Steven,Buchanan,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
2,10248,1996-07-04,"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,"Federal Shipping","(503) 555-9931",Grains/Cereals,"Breads, crackers, pasta, and cereal",10,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787,Steven,Buchanan,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
3,10248,1996-07-04,"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,"Federal Shipping","(503) 555-9931","Dairy Products",Cheeses,5,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",Steven,Buchanan,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
4,10249,1996-07-05,"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,"Speedy Express","(503) 555-9831",Produce,"Dried fruit and bean curd",9,Tofu,"40 - 100 g pkgs.",23.25,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877",Michael,Suyama,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
5,10249,1996-07-05,"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,"Speedy Express","(503) 555-9831",Produce,"Dried fruit and bean curd",40,"Manjimup Dried Apples","50 - 300 g pkgs.",53,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Michael,Suyama,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
6,10250,1996-07-08,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"United Package","(503) 555-3199",Seafood,"Seaweed and fish",10,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
7,10250,1996-07-08,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"United Package","(503) 555-3199",Produce,"Dried fruit and bean curd",35,"Manjimup Dried Apples","50 - 300 g pkgs.",53,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
8,10250,1996-07-08,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"United Package","(503) 555-3199",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",15,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
9,10251,1996-07-08,"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France,"Speedy Express","(503) 555-9831",Grains/Cereals,"Breads, crackers, pasta, and cereal",6,"Gustafs Knackebrod","24 - 500 g pkgs.",21,"PB Knackebrod AB","Lars Peterson","Kaloadagatan 13",Goteborg,"S-345 67",Sweden,"031-987 65 43",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
10,10251,1996-07-08,"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France,"Speedy Express","(503) 555-9831",Grains/Cereals,"Breads, crackers, pasta, and cereal",15,"Ravioli Angelo","24 - 250 g pkgs.",19.5,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
